,0
229,-46.71757941
230,-46.53822744
231,-46.66770766
232,-46.39419428
233,-46.65062102
234,-46.78186771
235,-46.53310422
236,-46.58650649
237,-46.58650649
238,-46.58650649
239,-46.62589589
240,-46.62589589
241,-46.82866081
242,-46.78186771
243,-46.78186771
244,-46.78186771
245,-46.524637
246,-46.64612919
247,-46.78186771
248,-46.78186771
249,-46.78186771
250,-46.78186771
251,-46.78186771
252,-46.82559701
253,-46.78186771
254,-46.78186771
255,-46.78186771
256,-46.78186771
257,-46.70196938
258,-46.78186771
259,-46.78186771
260,-46.3313343
261,-46.97561148
262,-46.97561148
263,-46.78186771
264,-46.54391598
265,-46.54391598
266,-46.78186771
267,-46.80429488
268,-46.80429488
269,-46.78186771
270,-46.28470724
271,-46.78186771
272,-46.78186771
273,-46.78186771
274,-46.40686632
275,-46.64034447
276,-46.78186771
277,-46.78186771
278,-46.78186771
279,-46.78186771
280,-46.78186771
281,-46.78186771
282,-46.78186771
283,-46.78186771
284,-46.78186771
285,-46.78186771
286,-46.78186771
287,-46.50652388
288,-46.78186771
289,-46.78186771
290,-46.78186771
291,-46.78186771
292,-46.78186771
293,-46.71757941
294,-46.78186771
295,-46.53822744
296,-46.78186771
297,-46.82559701
298,-46.57267958
299,-46.66770766
300,-46.78186771
301,-46.78186771
302,-46.78186771
303,-46.78186771
304,-46.56733789
305,-46.74319345
306,-46.53310422
307,-46.78186771
308,-46.39419428
309,-46.78186771
310,-46.78186771
311,-46.78186771
312,-46.3313343
313,-46.78186771
314,-46.78186771
315,-46.78186771
316,-46.78186771
317,-46.40686632
318,-46.78186771
319,-46.68499082
320,-46.78186771
321,-46.78186771
322,-46.53822744
323,-46.63706755
324,-46.82866081
325,-46.78186771
326,-46.78186771
327,-46.79359478
328,-46.32698486
329,-46.78207531
330,-46.78207531
331,-46.66497745
332,-46.57267958
333,-46.78186771
334,-46.34805773
335,-46.78186771
336,-46.78186771
337,-46.78207531
338,-46.78186771
339,-46.79359478
340,-46.20857163
341,-46.20857163
342,-46.20857163
343,-46.55942576
344,-46.64034447
345,-46.64034447
346,-46.78186771
347,-46.78186771
348,-46.78186771
349,-46.71232391
350,-46.71232391
351,-46.78186771
352,-46.14394201
353,-46.14394201
354,-46.78186771
355,-46.8008286
356,-46.78186771
357,-46.73345303
358,-46.68261827
359,-46.68261827
360,-46.78186771
361,-46.73779216
362,-46.78186771
363,-46.50652388
364,-46.63706755
365,-46.78186771
366,-46.80429488
367,-46.71023743
368,-46.44512961
369,-46.78186771
370,-46.78186771
371,-46.53982484
372,-46.78186771
373,-46.4742395
374,-46.63706755
375,-46.66497745
376,-46.66497745
377,-46.78186771
378,-46.78186771
379,-46.78186771
380,-46.78186771
381,-46.78186771
382,-46.71757941
383,-46.71757941
384,-46.78186771
385,-46.50652388
